BPUIC1;BPUIC2;DISTANCE_GEODESIC;DISTANCE_EXACT
8506215;8506216;3.6444;4.6638
8507281;8507291;2.723;
8502160;8502189;0.5714;
8504489;8504495;0.8717;
8505302;8505301;3.743;4.3447
8501178;8501174;0.3987;
8502275;8502268;0.5781;
8508100;8508151;0.8553;
8503527;8503525;2.5396;2.5397
8502166;8502167;2.0285;
8506025;8506024;3.6827;
8501117;8501118;2.3872;
8503307;8503305;4.7765;
8508005;8508081;1.0688;
8509194;8509195;2.4571;
8508206;8508205;3.5799;3.7234
8509171;8509173;4.7228;
8501404;8501403;5.5417;6.2897
8503300;8503301;4.1767;4.4287
8509075;8509076;2.7648;
8508265;8508080;3.2614;
8504385;8504384;1.749;
8503051;8503090;1.4623;
8504138;8504137;4.1709;4.6396
8500215;8500216;2.23;2.2609
8506319;8509400;5.753;5.8567
8501671;8501670;3.9079;
8500209;8500210;3.2124;3.298
8501120;8501121;2.4207;2.506
8504139;8504138;3.4928;4.3282
8508395;8530800;0.3882;
8503226;8503225;1.5438;
8508250;8508251;1.1907;
8501110;8501111;2.9328;3.0255
8530366;8501452;0.9486;
8506179;8506173;2.1886;
8504301;8504302;2.3912;2.9265
8503124;8503125;3.8905;3.9694
8502021;8505000;3.0915;4.9073
8506387;8506388;0.6038;
8505003;8505002;2.3867;
8503208;8503210;2.3103;2.3349
8508187;8508186;3.361;
8500125;8500126;3.7594;5.055
8509366;8509367;1.7012;
8509067;8509065;5.6611;
8504216;8504215;3.714;4.3376
8503095;8503094;1.5088;
8503053;8503054;0.6158;
8530064;8501487;0.4947;
8509183;8509167;4.1228;
8530355;8501458;0.5234;
8500024;8500023;2.6541;2.6651
8503000;8503015;1.8436;
8504086;8504066;2.5187;
8500280;8500272;0.367;
8503508;8517376;0.5213;
8507006;8507005;3.0638;3.0934
8501609;8501952;20.9998;
8502204;8502300;0.6206;
8502220;8503001;4.095;4.4112
8503512;8503509;2.0236;2.0422
8501726;8530366;0.911;
8506302;8519306;0.861;
8505300;8505415;17.1561;
8509401;8509402;5.645;5.6488
8503118;8503119;5.8515;6.3122
8508215;8516354;1.3773;
8508255;8508256;3.5374;
8509170;8509171;1.989;
8506194;8506193;1.1803;2.9663
8507008;8507009;2.792;2.7921
8501565;8501566;2.8294;
8504140;8504128;1.9609;2.0514
8504305;8504306;2.8665;2.8978
8508320;8508318;1.2869;
8502192;8502196;0.8948;
8500214;8500215;3.7984;3.7987
8502270;8517376;0.5228;
8503220;8503221;3.7297;3.9055
8504064;8504063;1.583;
8503109;8503108;2.367;2.4342
8501014;8501013;1.3507;1.448
8506355;8506354;1.5612;
8516161;8507002;1.7287;
8508267;8508268;3.351;
8505172;8505173;2.9783;
8500214;8500213;2.3209;2.3208
8501677;8501609;2.9069;
8500294;8500293;0.7179;
8506107;8506217;3.4956;3.5975
8508061;8508060;1.0792;
8501082;8501083;0.6485;
8505180;8509179;1.1354;
8509055;8509056;0.8712;
8501008;8516155;3.0169;
8501164;8501165;0.4894;
8503287;8503293;1.225;
8506047;8506046;3.3237;4.1555
8505004;8505003;8.1144;8.6074
8502019;8502029;2.1272;2.2741
8500035;8500037;4.645;5.4504
8500174;8500167;3.6623;
8530760;8530800;2.561;
8508218;8508217;2.943;2.979
8508081;8508080;1.4884;
8530430;8501464;0.6095;
8509182;8509183;1.4695;
8508219;8508218;5.9327;6.0609
8504128;8504186;1.6076;
8506376;8506375;1.8795;
8509255;8509351;2.2116;
8501021;8501011;0.9114;1.0066
8505472;8505467;0.6257;
8506009;8506008;2.6552;3.143
8505588;8505593;0.8069;
8504314;8500184;1.0028;
8509061;8509060;3.5204;
8502019;8502027;1.0709;1.0797
8501667;8501666;0.9767;
8504088;8504067;2.6897;
8500322;8500320;8.7019;
8501020;8501011;1.0006;1.001
8504224;8504225;2.102;2.167
8500203;8500202;2.3889;2.3889
8507065;8507066;1.7768;
8506313;8506312;4.448;4.8806
8503094;8503093;0.5592;
8507000;8504495;2.9024;
